"profile_id","first_name","last_name","gender","ethnicity","name_ID","tokens","agentic_count","communal_count"
1416,"Adem","Şeker","male","turkish",40,346,5,9
1485,"Adem","Şeker","male","turkish",40,332,3,8
1665,"Adem","Şeker","male","turkish",40,355,4,7
1737,"Adem","Şeker","male","turkish",40,447,5,16
176,"Adem","Şeker","male","turkish",40,394,3,11
1871,"Adem","Şeker","male","turkish",40,347,3,18
1885,"Adem","Şeker","male","turkish",40,275,4,15
201,"Adem","Şeker","male","turkish",40,356,4,15
2100,"Adem","Şeker","male","turkish",40,281,1,11
2147,"Adem","Şeker","male","turkish",40,335,3,12
2168,"Adem","Şeker","male","turkish",40,309,2,8
2173,"Adem","Şeker","male","turkish",40,320,4,2
221,"Adem","Şeker","male","turkish",40,323,2,5
2566,"Adem","Şeker","male","turkish",40,289,0,7
2589,"Adem","Şeker","male","turkish",40,1,0,0
2660,"Adem","Şeker","male","turkish",40,1,0,0
2793,"Adem","Şeker","male","turkish",40,408,4,10
2795,"Adem","Şeker","male","turkish",40,326,4,9
2860,"Adem","Şeker","male","turkish",40,319,3,21
2927,"Adem","Şeker","male","turkish",40,388,1,9
307,"Adem","Şeker","male","turkish",40,441,12,8
3131,"Adem","Şeker","male","turkish",40,383,6,15
377,"Adem","Şeker","male","turkish",40,532,7,24
465,"Adem","Şeker","male","turkish",40,508,4,16
528,"Adem","Şeker","male","turkish",40,318,3,11
571,"Adem","Şeker","male","turkish",40,441,7,12
6,"Adem","Şeker","male","turkish",40,276,6,10
762,"Adem","Şeker","male","turkish",40,379,3,15
778,"Adem","Şeker","male","turkish",40,370,4,18
930,"Adem","Şeker","male","turkish",40,361,4,8
1416,"Ahmet","Akay","male","turkish",38,346,6,6
1485,"Ahmet","Akay","male","turkish",38,382,5,15
1665,"Ahmet","Akay","male","turkish",38,355,6,7
1737,"Ahmet","Akay","male","turkish",38,286,3,8
176,"Ahmet","Akay","male","turkish",38,376,1,18
1871,"Ahmet","Akay","male","turkish",38,320,4,17
1885,"Ahmet","Akay","male","turkish",38,1,0,0
201,"Ahmet","Akay","male","turkish",38,332,6,14
2100,"Ahmet","Akay","male","turkish",38,420,4,11
2147,"Ahmet","Akay","male","turkish",38,315,4,11
2168,"Ahmet","Akay","male","turkish",38,332,2,7
2173,"Ahmet","Akay","male","turkish",38,440,7,17
221,"Ahmet","Akay","male","turkish",38,356,5,10
2566,"Ahmet","Akay","male","turkish",38,331,1,6
2589,"Ahmet","Akay","male","turkish",38,301,4,10
2660,"Ahmet","Akay","male","turkish",38,356,4,31
2793,"Ahmet","Akay","male","turkish",38,310,2,9
2795,"Ahmet","Akay","male","turkish",38,299,6,13
2860,"Ahmet","Akay","male","turkish",38,393,5,25
2927,"Ahmet","Akay","male","turkish",38,439,6,14
307,"Ahmet","Akay","male","turkish",38,315,3,10
3131,"Ahmet","Akay","male","turkish",38,333,4,14
377,"Ahmet","Akay","male","turkish",38,412,10,14
465,"Ahmet","Akay","male","turkish",38,524,6,14
528,"Ahmet","Akay","male","turkish",38,403,5,10
571,"Ahmet","Akay","male","turkish",38,332,0,11
6,"Ahmet","Akay","male","turkish",38,354,9,19
762,"Ahmet","Akay","male","turkish",38,269,3,17
778,"Ahmet","Akay","male","turkish",38,278,5,9
930,"Ahmet","Akay","male","turkish",38,386,7,8
1416,"Angelika","Kohl","female","german",19,375,5,14
1485,"Angelika","Kohl","female","german",19,415,8,14
1665,"Angelika","Kohl","female","german",19,298,4,10
1737,"Angelika","Kohl","female","german",19,357,6,13
176,"Angelika","Kohl","female","german",19,437,2,10
1871,"Angelika","Kohl","female","german",19,1,0,0
1885,"Angelika","Kohl","female","german",19,1,0,0
201,"Angelika","Kohl","female","german",19,356,5,13
2100,"Angelika","Kohl","female","german",19,361,4,11
2147,"Angelika","Kohl","female","german",19,1,0,0
2168,"Angelika","Kohl","female","german",19,303,5,14
2173,"Angelika","Kohl","female","german",19,302,9,6
221,"Angelika","Kohl","female","german",19,383,6,5
2566,"Angelika","Kohl","female","german",19,370,1,15
2589,"Angelika","Kohl","female","german",19,363,0,14
2660,"Angelika","Kohl","female","german",19,374,5,22
2793,"Angelika","Kohl","female","german",19,386,2,8
2795,"Angelika","Kohl","female","german",19,340,6,11
2860,"Angelika","Kohl","female","german",19,406,2,27
2927,"Angelika","Kohl","female","german",19,368,7,15
307,"Angelika","Kohl","female","german",19,334,7,5
3131,"Angelika","Kohl","female","german",19,309,5,10
377,"Angelika","Kohl","female","german",19,445,6,21
465,"Angelika","Kohl","female","german",19,314,8,12
528,"Angelika","Kohl","female","german",19,375,7,8
571,"Angelika","Kohl","female","german",19,397,4,7
6,"Angelika","Kohl","female","german",19,336,8,21
762,"Angelika","Kohl","female","german",19,281,4,17
778,"Angelika","Kohl","female","german",19,339,7,16
930,"Angelika","Kohl","female","german",19,381,6,7
1416,"Britta","Kern","female","german",7,368,4,15
1485,"Britta","Kern","female","german",7,332,10,11
1665,"Britta","Kern","female","german",7,1,0,0
1737,"Britta","Kern","female","german",7,397,8,14
