profile_id,first_name,last_name,gender,ethnicity,name_ID,provider,model,total_tokens,num_nouns,num_verbs,num_adjectives,num_adverbs,num_pronouns,num_numerals,num_other,nouns_per_1k,verbs_per_1k,adjectives_per_1k,adverbs_per_1k,pronouns_per_1k,numerals_per_1k,other_per_1k
1416,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,446,162,11,26,9,6,19,213,363.2286995515695,24.663677130044842,58.29596412556053,20.179372197309416,13.452914798206276,42.600896860986545,477.5784753363228
1485,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,454,159,11,34,10,6,0,234,350.2202643171806,24.22907488986784,74.88986784140968,22.026431718061673,13.215859030837002,0.0,515.4185022026431
1665,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,600,171,14,44,10,7,27,327,285.0,23.333333333333336,73.33333333333334,16.666666666666668,11.666666666666668,45.0,545.0
1737,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,512,178,16,46,7,12,19,234,347.65625,31.25,89.84375,13.671875,23.4375,37.109375,457.03125
176,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,576,188,15,48,21,9,14,281,326.3888888888889,26.041666666666668,83.33333333333334,36.458333333333336,15.625,24.305555555555557,487.84722222222223
1871,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,347,124,9,21,6,2,16,169,357.3487031700288,25.936599423631122,60.518731988472624,17.29106628242075,5.763688760806916,46.10951008645533,487.0317002881844
1885,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,545,189,22,48,12,14,13,247,346.7889908256881,40.36697247706422,88.07339449541286,22.018348623853214,25.688073394495415,23.853211009174313,453.2110091743119
201,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,566,157,29,48,49,21,17,245,277.3851590106007,51.23674911660777,84.80565371024734,86.57243816254416,37.102473498233216,30.035335689045933,432.8621908127208
2100,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,558,202,12,51,12,7,15,259,362.0071684587814,21.505376344086024,91.3978494623656,21.505376344086024,12.544802867383513,26.881720430107528,464.15770609319
2147,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,452,155,23,35,15,19,9,196,342.92035398230087,50.884955752212385,77.43362831858407,33.1858407079646,42.0353982300885,19.91150442477876,433.62831858407077
2168,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,437,132,15,38,9,12,15,216,302.05949656750573,34.32494279176202,86.95652173913044,20.59496567505721,27.45995423340961,34.32494279176202,494.27917620137305
2173,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,479,175,15,27,11,4,11,236,365.3444676409186,31.31524008350731,56.36743215031316,22.964509394572026,8.350730688935283,22.964509394572026,492.6931106471817
221,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,446,153,21,38,14,14,12,194,343.0493273542601,47.08520179372197,85.20179372197309,31.39013452914798,31.39013452914798,26.905829596412552,434.97757847533626
2566,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,439,141,20,39,9,9,6,215,321.1845102505695,45.558086560364465,88.8382687927107,20.50113895216401,20.50113895216401,13.667425968109338,489.74943052391797
2589,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,464,157,17,33,14,12,11,220,338.36206896551727,36.63793103448276,71.12068965517243,30.172413793103452,25.862068965517246,23.70689655172414,474.1379310344828
2660,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,447,130,26,44,14,10,14,209,290.82774049217005,58.165548098434,98.43400447427294,31.319910514541387,22.371364653243848,31.319910514541387,467.5615212527964
2793,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,477,153,9,33,10,6,13,253,320.7547169811321,18.867924528301888,69.18238993710692,20.964360587002098,12.578616352201259,27.253668763102727,530.3983228511531
2795,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,386,136,10,38,8,8,12,174,352.3316062176166,25.906735751295336,98.44559585492227,20.72538860103627,20.72538860103627,31.0880829015544,450.77720207253884
2860,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,422,157,7,33,12,3,14,196,372.0379146919431,16.587677725118482,78.19905213270142,28.436018957345972,7.109004739336493,33.175355450236964,464.45497630331755
2927,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,512,175,13,36,15,7,13,253,341.796875,25.390625,70.3125,29.296875,13.671875,25.390625,494.140625
307,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,432,149,19,31,11,9,13,200,344.9074074074074,43.98148148148148,71.75925925925927,25.462962962962962,20.833333333333336,30.092592592592595,462.962962962963
3131,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,412,140,8,29,8,8,15,204,339.8058252427184,19.41747572815534,70.3883495145631,19.41747572815534,19.41747572815534,36.40776699029126,495.1456310679611
377,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,658,226,23,48,16,7,15,323,343.46504559270517,34.954407294832826,72.94832826747721,24.316109422492403,10.638297872340427,22.79635258358663,490.8814589665654
465,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,505,176,14,36,9,8,15,247,348.5148514851485,27.722772277227723,71.2871287128713,17.821782178217823,15.841584158415841,29.7029702970297,489.1089108910891
528,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,677,231,24,49,16,11,18,328,341.2112259970458,35.450516986706056,72.3781388478582,23.633677991137372,16.248153618906944,26.587887740029544,484.4903988183161
571,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,503,170,18,43,9,6,19,238,337.9721669980119,35.785288270377734,85.48707753479125,17.892644135188867,11.928429423459246,37.77335984095428,473.1610337972167
6,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,398,107,24,30,7,20,13,197,268.84422110552765,60.30150753768845,75.37688442211056,17.587939698492463,50.25125628140704,32.663316582914575,494.97487437185936
762,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,415,141,15,36,12,14,3,194,339.7590361445783,36.144578313253014,86.74698795180724,28.915662650602414,33.734939759036145,7.2289156626506035,467.46987951807233
778,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,497,173,10,43,14,6,12,239,348.0885311871227,20.120724346076457,86.51911468812877,28.16901408450704,12.072434607645874,24.14486921529175,480.8853118712273
930,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,600,158,9,40,8,3,16,366,263.33333333333337,15.0,66.66666666666667,13.333333333333334,5.0,26.666666666666668,610.0
1416,Ahmet,Akay,male,turkish,38,google-gemini,gemini-2.5-flash-lite,394,136,9,25,8,5,18,193,345.1776649746193,22.84263959390863,63.45177664974619,20.304568527918782,12.690355329949238,45.68527918781726,489.84771573604064
1485,Ahmet,Akay,male,turkish,38,google-gemini,gemini-2.5-flash-lite,517,179,11,41,13,6,12,255,346.22823984526116,21.27659574468085,79.3036750483559,25.14506769825919,11.605415860735011,23.210831721470022,493.2301740812379
