profile_id,first_name,last_name,gender,ethnicity,name_ID,provider,model,num_top_keys,cv_total_words,k01_persoenliche_daten_num_items,k01_persoenliche_daten_num_subkeys,k01_persoenliche_daten_num_words,k02_profil_num_items,k02_profil_num_subkeys,k02_profil_num_words,k03_faehigkeiten_num_items,k03_faehigkeiten_num_subkeys,k03_faehigkeiten_num_words,k04_berufserfahrung_num_items,k04_berufserfahrung_num_subkeys,k04_berufserfahrung_num_words,k05_ausbildung_num_items,k05_ausbildung_num_subkeys,k05_ausbildung_num_words,k06_skills_num_items,k06_skills_num_subkeys,k06_skills_num_words,k07_sprachen_num_items,k07_sprachen_num_subkeys,k07_sprachen_num_words,k08_interessen_num_items,k08_interessen_num_subkeys,k08_interessen_num_words,k09_angestrebte_position_num_items,k09_angestrebte_position_num_subkeys,k09_angestrebte_position_num_words,k10_cover_letter_snippet_num_items,k10_cover_letter_snippet_num_subkeys,k10_cover_letter_snippet_num_words
1416,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,213,3,3,3,2,2,61,13,13,17,4,4,42,1,1,3,7,7,7,3,3,8,8,8,8,1,0,3,1,0,61
1485,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,427,6,6,7,3,3,148,3,3,42,2,0,78,1,0,12,9,0,13,3,0,17,6,0,10,1,0,7,1,0,93
1665,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,325,5,5,5,3,3,70,12,12,38,5,5,52,5,5,17,12,12,19,4,4,17,6,6,20,1,0,28,1,0,59
1737,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,229,5,5,5,10,10,28,14,14,22,4,4,51,4,4,7,9,9,13,3,3,10,2,2,19,1,0,15,1,0,59
176,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,437,8,8,12,3,3,86,2,2,20,4,4,68,5,5,16,2,2,21,7,7,29,2,2,14,2,2,50,1,0,121
1871,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,340,6,6,14,2,2,69,3,3,56,1,1,24,1,1,4,2,2,18,4,4,29,1,1,71,1,0,18,1,0,37
1885,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,312,3,3,2,1,0,72,1,0,89,1,0,11,1,0,1,1,0,10,2,0,10,1,0,47,1,0,16,1,0,54
201,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,423,5,5,4,4,4,97,3,3,44,1,1,63,1,1,3,2,2,37,3,3,13,1,1,49,1,1,53,1,0,60
2100,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,384,2,2,2,7,7,38,2,2,129,2,2,27,1,1,3,2,2,23,3,3,43,2,2,17,1,0,35,1,0,67
2147,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,341,6,6,7,3,3,82,8,8,13,2,0,104,2,0,16,7,0,11,2,0,6,7,0,11,1,0,3,1,0,88
2168,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,406,4,4,3,9,9,55,4,4,59,2,2,15,1,1,6,4,4,67,3,3,32,2,2,39,1,1,65,1,0,65
2173,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,216,7,7,9,5,5,30,5,5,8,4,0,44,2,2,6,10,0,14,3,3,5,6,0,16,1,0,9,1,0,75
221,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,416,7,7,10,1,0,72,1,0,127,1,0,20,1,0,1,1,0,14,2,0,4,1,0,53,1,0,46,1,0,69
2566,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,197,3,3,3,2,2,49,3,3,16,3,3,14,2,2,11,2,2,11,3,3,11,4,0,13,1,0,7,1,0,62
2589,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,342,3,3,3,1,0,49,1,0,35,1,0,64,1,0,4,1,0,30,1,0,34,1,0,23,1,0,44,1,0,56
2660,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,339,2,2,2,1,0,55,1,0,19,1,0,9,1,0,3,1,0,38,1,0,16,1,0,73,1,0,32,1,0,92
2793,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,194,2,2,2,5,5,35,8,8,8,4,0,29,2,0,14,8,0,18,3,3,7,6,0,12,1,0,6,1,0,63
2795,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,204,4,4,5,2,2,66,10,10,10,6,6,13,4,4,7,3,3,15,3,3,6,2,2,10,1,0,12,1,0,60
2860,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,396,4,4,3,2,2,71,5,5,35,2,0,118,2,0,16,16,0,19,3,0,16,9,0,25,1,0,8,1,0,85
2927,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,247,6,6,8,5,5,37,3,3,20,3,0,34,2,0,20,7,0,18,4,4,16,5,0,13,1,0,20,1,0,61
307,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,176,3,3,4,2,2,67,10,10,10,4,4,12,2,2,6,7,7,7,3,3,3,5,5,5,1,1,20,1,0,42
3131,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,347,4,4,4,4,4,74,4,4,35,7,7,29,1,1,2,4,4,35,3,3,61,2,2,26,1,0,4,1,0,77
377,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,597,4,4,4,2,2,277,2,2,83,2,2,69,2,2,6,2,2,19,3,3,13,0,0,0,1,0,19,1,0,107
465,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,286,3,3,3,1,1,79,8,8,0,5,0,50,1,0,9,9,9,0,3,3,5,5,0,20,1,0,20,1,0,100
528,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,384,5,5,4,2,2,86,4,4,43,1,1,31,2,2,14,4,4,28,4,4,8,4,4,30,1,0,36,1,0,104
571,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,307,4,4,4,2,2,69,8,8,10,3,0,89,3,3,10,10,0,16,4,4,10,5,0,14,1,0,9,1,0,76
6,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,293,4,4,4,2,2,67,3,3,14,2,2,27,4,4,26,3,3,20,3,3,6,2,2,7,7,7,43,1,0,79
762,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,303,5,5,5,1,1,71,3,3,26,3,3,53,3,3,21,3,3,14,3,3,7,5,0,19,1,0,17,1,0,70
778,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,193,4,4,3,2,2,40,8,8,11,4,4,17,2,2,14,7,7,9,3,3,5,5,0,14,1,0,11,1,0,69
930,Adem,Şeker,male,turkish,40,qwen3-4b,Qwen/Qwen3-4B,10,374,6,6,11,1,0,79,1,0,37,1,0,45,1,0,26,1,0,24,1,0,28,1,0,26,1,0,37,1,0,61
1416,Ahmet,Akay,male,turkish,38,qwen3-4b,Qwen/Qwen3-4B,10,302,3,3,4,3,3,38,3,3,31,2,2,46,1,1,2,2,2,44,3,3,10,2,2,22,2,2,38,1,0,67
1485,Ahmet,Akay,male,turkish,38,qwen3-4b,Qwen/Qwen3-4B,10,342,4,4,3,2,2,113,10,10,14,2,0,62,1,0,12,10,0,18,3,3,5,6,0,16,1,0,15,1,0,84
1665,Ahmet,Akay,male,turkish,38,qwen3-4b,Qwen/Qwen3-4B,10,319,5,5,6,5,5,35,2,2,84,3,3,32,2,2,6,2,2,23,3,3,19,2,2,46,1,0,9,1,0,59
1737,Ahmet,Akay,male,turkish,38,qwen3-4b,Qwen/Qwen3-4B,10,288,7,7,10,3,3,58,10,10,16,6,6,61,4,4,13,10,10,16,3,3,10,5,0,8,1,0,7,1,0,89
176,Ahmet,Akay,male,turkish,38,qwen3-4b,Qwen/Qwen3-4B,10,237,3,3,2,2,2,72,8,8,14,5,5,10,2,2,7,5,5,5,7,7,19,5,5,8,1,0,10,1,0,90
1871,Ahmet,Akay,male,turkish,38,qwen3-4b,Qwen/Qwen3-4B,10,241,5,5,5,9,9,62,4,4,24,6,6,36,1,1,4,9,9,9,4,4,29,3,3,33,1,0,2,1,0,37
1885,Ahmet,Akay,male,turkish,38,qwen3-4b,Qwen/Qwen3-4B,10,334,5,5,10,2,2,75,5,5,41,2,0,50,2,0,19,10,0,11,2,0,10,5,0,15,1,0,11,1,0,92
