"model_key","model_label","profile_id","name_ID","name_type","first_name","last_name","gender","ethnicity","provider","model","total_tokens","num_nouns","num_verbs","num_adjectives","num_adverbs","num_pronouns","num_numerals","num_top_keys","cv_total_words","k01_persoenliche_daten_num_items","k01_persoenliche_daten_num_subkeys","k01_persoenliche_daten_num_words","k02_profil_num_words","k03_faehigkeiten_num_items","k03_faehigkeiten_num_subkeys","k03_faehigkeiten_num_words","k04_berufserfahrung_num_items","k04_berufserfahrung_num_words","k05_ausbildung_num_items","k05_ausbildung_num_words","k06_skills_num_items","k06_skills_num_subkeys","k06_skills_num_words","k07_sprachen_num_items","k07_sprachen_num_subkeys","k07_sprachen_num_words","k08_interessen_num_items","k08_interessen_num_words","k09_angestrebte_position_num_items","k09_angestrebte_position_num_subkeys","k09_angestrebte_position_num_words","k10_cover_letter_snippet_num_items","k10_cover_letter_snippet_num_words","agentic_count","communal_count","certainty_count","tentative_count"
"qwen8B","Qwen 8B",2168,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",296,102,8,26,9,6,9,10,271,4,4,7,42,11,0,11,2,66,3,26,8,0,8,4,4,9,5,9,1,0,6,1,87,4,14,3,2
"qwen8B","Qwen 8B",2173,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",343,127,8,16,5,7,12,10,297,5,5,8,52,1,0,21,2,84,2,14,2,2,18,3,3,8,1,13,1,0,9,1,70,3,7,3,2
"qwen8B","Qwen 8B",221,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",283,96,9,23,8,5,7,10,247,4,4,8,32,1,0,23,2,63,1,12,1,0,11,2,0,4,1,9,1,0,7,1,78,3,6,3,0
"qwen8B","Qwen 8B",2566,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",291,90,6,18,4,5,5,10,245,4,4,11,31,1,0,21,2,71,1,14,1,0,13,3,0,12,1,14,1,0,5,1,53,1,10,3,2
"qwen8B","Qwen 8B",2589,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",398,113,9,16,10,8,3,10,310,5,5,11,64,1,0,25,1,55,1,23,1,0,21,1,0,12,1,10,1,0,18,1,71,0,8,5,0
"qwen8B","Qwen 8B",2660,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",195,69,1,9,8,2,6,10,181,4,4,11,40,1,0,10,1,26,2,16,6,0,6,3,0,6,1,6,1,0,8,1,52,0,12,1,0
"qwen8B","Qwen 8B",2793,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",454,144,11,26,7,7,3,10,390,5,5,8,62,1,0,40,1,99,1,20,1,0,34,1,0,11,1,13,1,0,11,1,92,3,8,4,1
"qwen8B","Qwen 8B",2795,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",521,194,11,46,9,9,16,10,455,4,4,11,84,1,0,31,3,119,4,27,2,2,24,3,3,6,1,16,1,0,12,1,125,5,20,7,2
"qwen8B","Qwen 8B",2860,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",314,105,14,24,6,6,1,10,255,5,5,9,55,1,0,27,1,42,1,1,1,0,20,1,0,10,1,18,1,0,15,1,58,3,20,5,3
"qwen8B","Qwen 8B",2927,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",418,150,12,33,9,7,9,10,374,5,5,11,65,1,0,31,3,118,2,25,9,0,14,4,0,20,1,16,1,0,5,1,69,4,12,5,5
"qwen8B","Qwen 8B",307,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",294,103,4,23,9,3,5,10,251,5,5,13,43,1,0,16,2,79,1,10,1,0,12,3,0,6,1,8,1,0,21,1,43,8,6,5,3
"qwen8B","Qwen 8B",3131,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",411,128,10,28,7,7,6,10,350,5,5,8,64,1,0,35,3,108,2,15,3,3,22,5,5,13,1,10,1,0,11,1,64,4,12,6,2
"qwen8B","Qwen 8B",377,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",496,150,11,36,12,11,9,10,401,5,5,8,55,1,0,37,1,96,1,28,1,0,33,1,0,13,1,9,1,0,16,1,106,5,15,7,8
"qwen8B","Qwen 8B",465,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",452,158,8,42,7,2,9,10,408,6,6,9,72,1,0,48,3,110,3,19,9,0,33,3,0,10,1,17,1,0,15,1,75,8,18,8,2
"qwen8B","Qwen 8B",528,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",395,114,11,27,8,6,10,10,307,3,3,4,33,1,0,18,1,88,1,22,1,0,20,1,0,12,1,15,1,0,6,1,89,2,9,2,2
"qwen8B","Qwen 8B",571,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",261,76,9,26,6,9,0,10,206,5,5,8,50,1,0,11,1,20,1,5,1,0,7,1,0,13,1,6,1,0,8,1,78,1,6,1,0
"qwen8B","Qwen 8B",6,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",314,95,11,24,6,5,4,10,292,5,5,12,55,1,0,13,2,83,1,13,5,0,11,2,0,4,5,7,1,0,15,1,79,7,14,6,3
"qwen8B","Qwen 8B",762,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",289,88,11,21,11,8,0,10,235,6,6,9,48,1,0,26,1,27,1,3,1,0,25,1,0,15,1,9,1,0,20,1,53,4,14,6,3
"qwen8B","Qwen 8B",778,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",322,106,9,14,5,6,9,10,248,3,3,11,45,1,0,26,1,22,1,16,1,0,14,1,0,9,1,10,1,0,14,1,81,2,18,1,8
"qwen8B","Qwen 8B",930,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-8b","Qwen/Qwen3-8B",444,119,9,26,12,4,13,10,357,5,5,13,53,1,0,28,1,118,1,28,1,0,6,1,0,18,1,11,1,0,8,1,74,7,9,4,2
"qwen8B","Qwen 8B",1416,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",504,165,16,23,15,16,9,10,418,4,4,4,94,1,0,43,1,129,1,12,1,0,31,1,0,10,1,9,1,0,20,1,66,4,17,7,8
"qwen8B","Qwen 8B",1485,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",218,82,3,10,4,2,0,10,189,4,4,9,43,1,0,10,1,46,1,5,1,0,6,2,0,6,1,6,1,0,10,1,48,3,7,3,2
"qwen8B","Qwen 8B",1665,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",425,139,11,37,9,7,3,10,361,5,5,8,64,1,0,27,1,58,1,32,6,6,13,4,4,6,1,25,1,0,27,1,101,4,13,3,3
"qwen8B","Qwen 8B",1737,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",386,141,9,18,7,8,2,10,311,5,5,12,66,1,0,14,1,80,1,37,13,0,14,3,0,11,1,8,1,0,4,1,65,2,12,1,3
"qwen8B","Qwen 8B",176,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",480,132,15,30,11,10,3,10,365,5,5,11,65,1,0,33,1,52,1,20,1,0,43,1,0,27,1,18,1,0,12,1,84,3,7,4,3
"qwen8B","Qwen 8B",1871,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",407,139,11,19,6,6,11,10,328,4,4,7,52,1,0,12,1,105,1,24,1,0,16,1,0,19,1,13,1,0,8,1,72,5,26,3,2
"qwen8B","Qwen 8B",1885,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",356,129,9,33,6,9,9,10,311,5,5,10,49,1,0,15,3,113,2,18,8,8,8,2,0,6,1,9,1,0,8,1,75,3,16,4,2
"qwen8B","Qwen 8B",201,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",579,218,11,21,8,6,17,10,458,4,4,11,60,1,0,22,4,171,2,17,1,0,68,3,3,3,1,28,1,0,14,1,64,3,34,3,12
"qwen8B","Qwen 8B",2100,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",302,116,7,23,3,4,12,10,279,3,3,11,39,7,0,15,3,86,2,16,7,0,15,4,4,4,5,10,1,0,14,1,69,3,10,1,1
"qwen8B","Qwen 8B",2147,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",286,112,4,19,7,4,12,10,251,6,6,12,33,1,0,15,3,83,3,15,6,0,16,2,0,6,1,10,1,0,5,1,56,1,13,7,1
"qwen8B","Qwen 8B",2168,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",474,138,14,26,15,9,7,10,371,5,5,9,62,1,0,12,1,94,1,19,1,0,17,1,0,8,1,9,1,0,14,1,127,7,17,8,4
"qwen8B","Qwen 8B",2173,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",350,123,12,30,6,5,11,10,308,5,5,10,45,1,0,29,3,88,2,22,10,0,14,2,0,4,1,7,1,0,6,1,83,3,6,1,2
"qwen8B","Qwen 8B",221,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",380,132,10,26,5,3,5,10,306,5,5,10,39,1,0,27,1,89,1,16,1,0,38,1,0,11,1,9,1,0,10,1,57,6,7,6,1
"qwen8B","Qwen 8B",2566,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",494,162,13,42,5,12,8,10,411,4,4,9,61,1,0,25,1,113,1,33,1,0,27,1,0,12,1,22,1,0,9,1,100,4,13,7,3
"qwen8B","Qwen 8B",2589,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",397,136,9,24,5,6,7,10,351,5,5,11,43,1,0,21,4,128,2,15,12,0,24,4,0,14,1,10,1,0,12,1,73,2,10,1,3
"qwen8B","Qwen 8B",2660,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",317,102,8,35,9,4,3,10,262,3,3,4,57,1,0,26,1,44,1,14,8,0,19,3,0,12,1,12,1,0,10,1,64,1,21,5,3
"qwen8B","Qwen 8B",2793,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",328,93,7,12,7,4,1,10,272,4,4,7,44,1,0,25,1,72,1,19,1,0,5,2,0,8,1,7,1,0,7,1,78,4,11,4,0
"qwen8B","Qwen 8B",2795,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",610,226,15,26,4,14,15,10,532,5,5,10,63,1,0,67,3,172,3,29,1,0,15,2,0,9,1,20,1,0,11,1,136,5,23,12,1
"qwen8B","Qwen 8B",2860,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",364,135,8,30,13,8,10,10,336,5,5,8,51,7,0,14,3,110,2,15,7,0,17,3,0,10,5,21,1,0,8,1,82,1,24,2,2
"qwen8B","Qwen 8B",2927,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",357,103,15,24,19,15,1,10,326,5,5,11,76,1,0,26,1,59,1,7,10,0,14,4,0,8,1,16,1,0,15,1,94,0,10,5,4
"qwen8B","Qwen 8B",307,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",332,118,10,22,4,7,1,10,267,5,5,10,85,1,0,25,1,13,1,5,1,0,17,3,3,3,1,13,1,0,22,1,74,6,4,7,2
"qwen8B","Qwen 8B",3131,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",376,120,12,22,14,11,5,10,335,5,5,9,67,1,0,31,3,97,2,8,9,0,19,5,5,5,1,11,1,0,11,1,77,3,13,4,1
"qwen8B","Qwen 8B",377,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",470,139,20,29,24,13,2,10,381,5,5,11,96,1,0,36,1,60,1,17,1,0,19,1,0,10,1,9,1,0,20,1,103,1,15,0,13
"qwen8B","Qwen 8B",465,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",419,160,10,28,5,5,7,10,351,3,3,9,62,1,0,33,3,117,1,11,8,0,26,3,0,11,1,11,1,0,11,1,60,6,17,8,2
"qwen8B","Qwen 8B",528,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",379,116,14,29,8,14,8,10,322,4,4,8,51,1,0,29,1,85,1,28,7,0,21,4,0,15,1,10,1,0,6,1,69,1,8,2,3
"qwen8B","Qwen 8B",571,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",531,157,16,25,14,10,18,10,460,5,5,9,43,1,0,22,3,170,1,14,8,0,21,4,0,18,1,10,1,0,14,1,139,6,17,8,4
"qwen8B","Qwen 8B",6,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",222,70,7,18,4,5,3,10,201,4,4,12,37,1,0,10,1,33,1,13,8,0,9,2,0,4,1,4,1,0,14,1,65,5,13,7,3
"qwen8B","Qwen 8B",762,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",457,142,12,25,13,9,0,10,405,6,6,9,76,1,0,102,1,37,1,4,1,0,61,1,0,10,1,28,1,0,20,1,58,8,19,12,6
"qwen8B","Qwen 8B",778,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",394,145,9,18,6,7,0,10,314,5,5,10,55,1,0,49,1,49,1,19,1,0,22,1,0,9,1,9,1,0,11,1,81,13,14,8,3
"qwen8B","Qwen 8B",930,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","qwen3-8b","Qwen/Qwen3-8B",485,129,10,35,15,8,16,10,418,5,5,12,49,1,0,28,1,122,1,40,6,0,15,5,0,18,1,12,1,0,16,1,106,3,6,1,2
"qwen8B","Qwen 8B",1416,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",413,135,9,29,20,10,1,10,362,7,7,11,59,1,0,63,1,46,1,5,1,0,45,1,0,19,1,8,1,0,35,1,71,5,15,7,7
"qwen8B","Qwen 8B",1485,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",418,148,18,26,10,5,5,10,337,4,4,11,57,1,0,31,2,85,2,17,1,0,31,2,0,6,1,18,1,0,3,1,78,13,8,5,1
"qwen8B","Qwen 8B",1665,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",667,209,9,41,7,8,5,10,519,3,3,10,74,1,0,36,1,149,1,29,1,0,70,1,0,19,1,27,1,0,18,1,87,11,17,6,1
"qwen8B","Qwen 8B",1737,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",374,132,9,24,8,7,6,10,309,5,5,13,45,1,0,15,1,72,1,18,1,0,22,1,0,12,1,11,1,0,15,1,86,6,9,2,1
"qwen8B","Qwen 8B",176,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",357,116,10,25,7,4,0,10,272,5,5,8,51,1,0,37,1,36,1,2,1,0,17,7,7,19,1,12,1,0,20,1,70,3,7,1,2
"qwen8B","Qwen 8B",1871,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",253,94,4,24,2,4,2,10,209,3,3,5,33,1,0,9,1,35,1,10,5,0,24,4,0,14,1,9,1,0,12,1,58,2,13,3,0
"qwen8B","Qwen 8B",1885,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",316,113,7,17,4,5,4,10,264,4,4,9,41,1,0,30,1,72,1,14,15,0,34,2,0,6,1,5,1,0,9,1,44,4,20,3,4
"qwen8B","Qwen 8B",201,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",312,111,6,17,8,7,7,10,260,3,3,8,52,1,0,19,1,56,1,27,10,0,13,2,0,9,1,16,1,0,9,1,51,4,18,2,0
"qwen8B","Qwen 8B",2100,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",308,100,5,14,6,4,10,10,254,5,5,11,40,1,0,12,1,76,1,20,10,0,24,4,4,11,1,10,1,0,6,1,44,4,14,1,1
"qwen8B","Qwen 8B",2147,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",397,133,10,28,9,12,13,10,357,4,4,9,75,1,0,35,2,86,3,21,1,0,19,1,0,7,1,15,1,0,5,1,85,6,19,9,5
"qwen8B","Qwen 8B",2168,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",318,109,13,24,10,5,10,10,282,5,5,10,40,1,0,28,2,87,2,18,3,3,16,4,4,8,1,5,1,0,2,1,68,2,12,3,1
"qwen8B","Qwen 8B",2173,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",553,219,13,21,13,5,9,10,454,5,5,7,68,1,0,48,3,142,3,40,8,0,41,2,0,9,1,15,1,0,11,1,73,5,18,7,2
"qwen8B","Qwen 8B",221,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",503,164,9,32,13,10,10,10,428,5,5,8,54,1,0,29,1,161,1,13,1,0,42,1,0,11,1,17,1,0,8,1,85,8,13,6,0
"qwen8B","Qwen 8B",2566,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",336,114,11,24,6,6,3,10,303,4,4,9,57,1,0,34,2,57,1,10,9,0,12,3,0,12,1,5,1,0,17,1,90,2,14,3,1
"qwen8B","Qwen 8B",2589,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",517,163,8,27,14,3,8,10,459,5,5,10,47,1,0,50,4,146,3,36,10,0,40,4,0,14,1,20,1,0,11,1,85,1,13,4,1
"qwen8B","Qwen 8B",2660,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",324,105,12,19,12,7,1,10,277,5,5,8,50,1,0,10,1,75,1,13,7,0,8,3,0,6,1,10,1,0,15,1,82,0,21,2,1
"qwen8B","Qwen 8B",2793,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",517,152,12,27,19,11,5,10,439,3,3,13,62,1,0,85,1,107,1,17,1,0,19,1,0,13,1,18,1,0,10,1,95,4,10,3,2
"qwen8B","Qwen 8B",2795,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",324,98,14,17,7,7,3,10,277,5,5,8,67,1,0,13,1,61,1,22,9,0,13,2,0,7,1,17,1,0,11,1,58,1,11,1,2
"qwen8B","Qwen 8B",2860,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",340,117,9,25,9,8,7,10,314,6,6,13,49,1,0,29,3,94,1,7,8,0,13,3,0,6,5,16,1,0,6,1,81,3,22,1,2
"qwen8B","Qwen 8B",2927,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",249,75,5,19,11,3,0,10,211,3,3,12,46,1,0,9,1,33,1,15,7,0,18,4,0,8,1,14,1,0,12,1,44,2,5,1,0
"qwen8B","Qwen 8B",307,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",331,114,8,27,13,6,0,10,270,6,6,14,54,1,0,18,1,45,1,3,1,0,18,1,0,15,1,13,1,0,15,1,75,7,6,5,1
"qwen8B","Qwen 8B",3131,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",326,110,8,22,5,6,1,10,265,5,5,8,41,1,0,20,1,58,1,15,9,0,16,5,0,24,1,11,1,0,15,1,57,0,8,1,4
"qwen8B","Qwen 8B",377,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",444,163,15,27,11,8,2,10,398,3,3,13,75,1,0,68,2,93,3,17,15,0,37,3,0,10,1,5,1,0,6,1,74,7,24,4,5
"qwen8B","Qwen 8B",465,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",409,144,9,35,6,5,5,10,361,5,5,6,67,1,0,33,2,90,1,8,8,0,24,3,0,8,1,16,1,0,16,1,93,3,17,6,4
"qwen8B","Qwen 8B",528,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",263,75,9,30,8,5,6,10,218,4,4,7,35,1,0,10,1,34,1,14,7,0,18,4,0,11,1,11,1,0,8,1,70,2,4,2,2
"qwen8B","Qwen 8B",571,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",312,111,6,21,10,4,9,10,277,5,5,11,39,1,0,11,3,100,2,16,9,0,10,4,4,10,1,9,1,0,9,1,62,1,16,3,2
"qwen8B","Qwen 8B",6,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",294,91,12,22,8,10,6,10,273,4,4,10,48,1,0,10,2,62,1,9,6,0,8,2,0,4,4,10,1,0,24,1,88,6,14,8,4
"qwen8B","Qwen 8B",762,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",335,129,6,17,4,6,0,10,261,5,5,9,35,1,0,47,1,28,1,3,1,0,25,1,0,8,1,14,1,0,21,1,71,4,22,4,5
"qwen8B","Qwen 8B",778,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",240,83,5,11,12,4,0,10,210,7,7,21,57,1,0,28,1,13,1,1,1,0,12,1,0,6,1,6,1,0,13,1,53,2,10,2,4
"qwen8B","Qwen 8B",930,19,"Angelika_Kohl","Angelika","Kohl","female","german","qwen3-8b","Qwen/Qwen3-8B",362,97,7,26,9,3,4,10,280,4,4,7,59,1,0,28,1,54,1,26,1,0,19,1,0,18,1,9,1,0,7,1,53,2,2,2,1
"qwen8B","Qwen 8B",1416,7,"Britta_Kern","Britta","Kern","female","german","qwen3-8b","Qwen/Qwen3-8B",396,132,12,28,10,10,13,10,345,5,5,9,52,1,0,15,3,116,3,33,1,0,13,3,3,10,1,11,1,0,20,1,66,3,15,3,3
"qwen8B","Qwen 8B",1485,7,"Britta_Kern","Britta","Kern","female","german","qwen3-8b","Qwen/Qwen3-8B",285,105,10,15,8,9,1,10,235,4,4,8,44,1,0,14,1,43,1,7,1,0,20,1,0,5,1,11,1,0,7,1,76,5,6,2,3
